Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
Elektra,2005,97 min,4.7,34        ,"90,043",$24.41M,PG-13,"
Action, Adventure, Crime            ",65000000,24409722,56824633,Elektra 2005
RED 2,2013,116 min,6.6,47        ,"165,554",$53.26M,PG-13,"
Action, Adventure, Comedy            ",84000000,53262560,141507355,RED 2 2013
Men in Black: International,2019,114 min,5.6,38        ,"123,533",$80.00M,PG-13,"
Action, Adventure, Comedy            ",110000000,80001807,253020464,Men in Black: International 2019
Battleship,2012,131 min,5.8,41        ,"241,840",$65.42M,PG-13,"
Action, Adventure, Sci-Fi            ",220000000,65233400,313477717,Battleship 2012
Immortals,2011,110 min,6.0,46        ,"164,688",$83.50M,R,"
Action, Drama, Fantasy            ",75000000,83504017,211562435,Immortals 2011
X-Men: The Last Stand,2006,104 min,6.7,58        ,"497,189",$234.36M,PG-13,"
Action, Adventure, Sci-Fi            ",210000000,234362462,459260946,X-Men: The Last Stand 2006
Vice,2018,132 min,7.2,61        ,"133,699",$47.84M,R,"
Biography, Comedy, Drama            ",60000000,47836282,70893782,Vice  2018
Shrek 2,2004,93 min,7.2,75        ,"437,614",$436.47M,PG,"
Animation, Adventure, Comedy            ",70000000,441226247,935253978,Shrek 2 2004
Gangster Squad,2013,113 min,6.7,40        ,"210,539",$46.00M,R,"
Action, Crime, Drama            ",60000000,46000903,104100903,Gangster Squad 2013
The Lost World: Jurassic Park,1997,129 min,6.6,59        ,"395,339",$229.09M,PG-13,"
Action, Adventure, Sci-Fi            ",75000000,229086679,618638999,The Lost World: Jurassic Park 1997
The Twilight Saga: Eclipse,2010,124 min,5.0,58        ,"236,536",$300.53M,PG-13,"
Action, Adventure, Drama            ",68000000,300531751,706102828,The Twilight Saga: Eclipse 2010
The Happening,2008,91 min,5.0,34        ,"201,651",$64.51M,R,"
Drama, Mystery, Sci-Fi            ",60000000,64506874,162778384,The Happening 2008
The Secret Life of Walter Mitty,2013,114 min,7.3,54        ,"304,226",$58.24M,PG,"
Adventure, Comedy, Drama            ",91000000,58236838,187861183,The Secret Life of Walter Mitty 2013
How to Train Your Dragon,2010,98 min,8.1,75        ,"695,695",$217.58M,PG,"
Animation, Action, Adventure            ",165000000,217581232,494870992,How to Train Your Dragon 2010
The League of Extraordinary Gentlemen,2003,110 min,5.8,30        ,"172,314",$66.47M,PG-13,"
Action, Adventure, Fantasy            ",78000000,66465204,179265204,The League of Extraordinary Gentlemen 2003
Marley & Me,2008,115 min,7.1,53        ,"152,078",$143.15M,PG,"
Comedy, Drama, Family            ",60000000,143153751,247812011,Marley & Me 2008
Annie,1982,127 min,6.6,39        ,"42,453",$57.06M,PG,"
Comedy, Drama, Family            ",65000000,85911262,139829625,Annie 1982
Annie,2014,118 min,5.3,33        ,"36,357",$85.91M,PG,"
Comedy, Drama, Family            ",65000000,85911262,139829625,Annie 2014
The Bourne Identity,2002,119 min,7.9,68        ,"524,916",$121.66M,PG-13,"
Action, Mystery, Thriller            ",60000000,121468960,214357371,The Bourne Identity 2002
Gone in 60 Seconds,2000,118 min,6.5,35        ,"268,592",$101.65M,PG-13,"
Action, Crime, Thriller            ",103300000,101643008,232643008,Gone in 60 Seconds 2000
Blackhat,2015,133 min,5.4,51        ,"56,904",$7.10M,R,"
Action, Crime, Thriller            ",70000000,8005980,19665004,Blackhat 2015
Unbreakable,2000,106 min,7.3,62        ,"401,863",$95.01M,PG-13,"
Drama, Mystery, Sci-Fi            ",73243106,94999143,248099143,Unbreakable 2000
Austin Powers in Goldmember,2002,94 min,6.2,62        ,"202,331",$213.31M,PG-13,"
Action, Adventure, Comedy            ",63000000,213117789,296338663,Austin Powers in Goldmember 2002
Hotel Transylvania 2,2015,89 min,6.7,44        ,"116,089",$169.70M,PG,"
Animation, Adventure, Comedy            ",80000000,169700110,469500298,Hotel Transylvania 2 2015
Public Enemies,2009,140 min,7.0,70        ,"290,758",$97.10M,R,"
Biography, Crime, Drama            ",102500000,97104620,212282709,Public Enemies 2009
Blades of Glory,2007,93 min,6.3,64        ,"163,240",$118.59M,PG-13,"
Comedy, Sport            ",61000000,118594548,145594548,Blades of Glory 2007
Shark Tale,2004,90 min,6.0,48        ,"174,445",$160.86M,PG,"
Animation, Adventure, Comedy            ",75000000,161412000,371741123,Shark Tale 2004
RoboCop,1987,102 min,7.6,67        ,"244,135",$53.42M,R,"
Action, Crime, Sci-Fi            ",120000000,58607007,242981799,RoboCop 1987
RoboCop,2014,117 min,6.1,52        ,"221,686",$58.61M,PG-13,"
Action, Crime, Sci-Fi            ",120000000,58607007,242981799,RoboCop 2014
Contact,1997,150 min,7.5,62        ,"264,273",$100.92M,PG,"
Drama, Mystery, Sci-Fi            ",90000000,100920329,165900000,Contact 1997
Jason Bourne,2016,123 min,6.6,58        ,"216,422",$162.43M,PG-13,"
Action, Thriller            ",120000000,162192920,416168316,Jason Bourne  2016
Conan the Barbarian,2011,113 min,5.2,36        ,"97,379",$21.30M,R,"
Action, Adventure, Fantasy            ",90000000,21295021,63356133,Conan the Barbarian 2011
Conan the Barbarian,1982,129 min,6.9,43        ,"142,956",$39.57M,R,"
Action, Adventure, Fantasy            ",90000000,21295021,63356133,Conan the Barbarian 1982
Transformers: Age of Extinction,2014,165 min,5.6,32        ,"305,227",$245.44M,PG-13,"
Action, Adventure, Sci-Fi            ",210000000,245439076,1104054072,Transformers: Age of Extinction 2014
Clash of the Titans,2010,106 min,5.8,39        ,"276,368",$163.21M,PG-13,"
Action, Adventure, Fantasy            ",125000000,163214888,493214888,Clash of the Titans 2010
Clash of the Titans,1981,118 min,6.9,59        ,"42,907",$41.09M,PG,"
Action, Adventure, Family            ",125000000,163214888,493214888,Clash of the Titans 1981
Dracula Untold,2014,92 min,6.3,40        ,"186,984",$56.28M,PG-13,"
Action, Drama, Fantasy            ",70000000,55991880,220241723,Dracula Untold 2014
The Mask of Zorro,1998,136 min,6.8,63        ,"175,923",$94.10M,PG-13,"
Action, Adventure, Comedy            ",65000000,93828745,233700000,The Mask of Zorro 1998
Miami Vice,2006,132 min,6.0,66        ,"113,819",$63.45M,R,"
Action, Crime, Drama            ",135000000,63478838,164920076,Miami Vice 2006
Onward,2020,102 min,7.4,61        ,"126,949",$61.56M,PG,"
Animation, Adventure, Comedy            ",200000000,61555145,133317030,Onward  2020
The Expendables 3,2014,126 min,6.1,35        ,"175,832",$39.32M,PG-13,"
Action, Adventure, Thriller            ",100000000,39322544,209461378,The Expendables 3 2014
Perfume: The Story of a Murderer,2006,147 min,7.5,56        ,"241,531",$2.22M,R,"
Crime, Drama, Fantasy            ",63700000,2223293,133603463,Perfume: The Story of a Murderer 2006
Die Hard 2,1990,124 min,7.1,67        ,"348,065",$117.54M,R,"
Action, Thriller            ",70000000,117323878,239813888,Die Hard 2 1990
War for the Planet of the Apes,2017,140 min,7.4,82        ,"240,082",$146.88M,PG-13,"
Action, Adventure, Drama            ",152000000,146880162,489592267,War for the Planet of the Apes 2017
Focus,2015,105 min,6.6,56        ,"231,716",$53.86M,R,"
Comedy, Crime, Drama            ",65000000,53862963,168065700,Focus  2015
The Island,2005,136 min,6.8,50        ,"308,321",$35.82M,PG-13,"
Action, Sci-Fi, Thriller            ",120000000,35818913,163018913,The Island 2005
Enemy of the State,1998,132 min,7.3,67        ,"235,027",$111.55M,R,"
Action, Thriller            ",85000000,111549836,250649836,Enemy of the State 1998
Kung Fu Panda,2008,92 min,7.6,74        ,"439,657",$215.43M,PG,"
Animation, Action, Adventure            ",130000000,215434591,631910531,Kung Fu Panda 2008
Enchanted,2007,107 min,7.0,75        ,"188,162",$127.81M,PG,"
Animation, Adventure, Comedy            ",85000000,127706877,340384141,Enchanted 2007
Evolution,2001,101 min,6.1,40        ,"125,277",$38.35M,PG-13,"
Comedy, Sci-Fi            ",80000000,38311134,98341932,Evolution 2001
Angels & Demons,2009,138 min,6.7,48        ,"283,110",$133.38M,PG-13,"
Action, Mystery, Thriller            ",150000000,133375846,490875846,Angels & Demons 2009
Incredibles 2,2018,118 min,7.6,80        ,"270,140",$608.58M,PG,"
Animation, Action, Adventure            ",200000000,608581744,1242805359,Incredibles 2 2018
