Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
Year One,2009,97 min,4.9,34        ,"95,446",$43.34M,PG-13,"
Comedy            ",60000000,43337279,57604723,Year One 2009
The Lone Ranger,2013,150 min,6.4,37        ,"227,640",$89.30M,PG-13,"
Action, Adventure, Western            ",225000000,89302115,260002115,The Lone Ranger 2013
Speed Racer,2008,135 min,6.0,37        ,"71,302",$43.95M,PG,"
Action, Adventure, Comedy            ",120000000,43945766,93394462,Speed Racer 2008
Dinner for Schmucks,2010,114 min,5.9,56        ,"104,055",$73.03M,PG-13,"
Comedy            ",69000000,73026337,86796502,Dinner for Schmucks 2010
The 13th Warrior,1999,102 min,6.6,42        ,"120,563",$32.70M,R,"
Action, Adventure, History            ",125000000,32698899,61698899,The 13th Warrior 1999
Stuart Little,1999,84 min,5.9,61        ,"130,072",$140.04M,PG,"
Adventure, Comedy, Family            ",105000000,140015224,298815224,Stuart Little 1999
Exorcist: The Beginning,2004,114 min,5.1,30        ,"36,050",$41.82M,R,"
Horror, Mystery, Thriller            ",78000000,41814863,43957541,Exorcist: The Beginning 2004
The BFG,2016,117 min,6.4,66        ,"81,819",$55.48M,PG,"
Adventure, Family, Fantasy            ",140000000,55483770,199646680,The BFG 2016
Click,2006,107 min,6.4,45        ,"317,061",$137.36M,PG-13,"
Comedy, Drama, Fantasy            ",82500000,137355633,237685089,Click 2006
The Saint,1997,116 min,6.2,50        ,"65,805",$61.36M,PG-13,"
Action, Adventure, Romance            ",90000000,61363304,169400000,The Saint 1997
The Divergent Series: Insurgent,2015,119 min,6.2,42        ,"226,854",$130.18M,PG-13,"
Action, Adventure, Sci-Fi            ",110000000,130179072,295075882,The Divergent Series: Insurgent 2015
The Spirit,2008,103 min,4.8,30        ,"60,537",$19.78M,PG-13,"
Action, Crime, Fantasy            ",60000000,19806188,39006188,The Spirit 2008
The Bourne Supremacy,2004,108 min,7.7,73        ,"447,243",$176.24M,PG-13,"
Action, Mystery, Thriller            ",85000000,176087450,311001124,The Bourne Supremacy 2004
Doom,2005,105 min,5.2,34        ,"110,995",$28.21M,R,"
Action, Horror, Sci-Fi            ",70000000,28212337,58757178,Doom 2005
Ted 2,2015,115 min,6.3,48        ,"195,401",$81.48M,R,"
Comedy            ",68000000,81476385,217214143,Ted 2 2015
Pan,2015,111 min,5.7,36        ,"62,426",$35.09M,PG,"
Adventure, Comedy, Family            ",150000000,35088320,151525973,Pan 2015
Swordfish,2001,99 min,6.5,32        ,"181,961",$69.77M,R,"
Action, Crime, Thriller            ",80000000,69772969,147080413,Swordfish 2001
Cinderella Man,2005,144 min,8.0,69        ,"181,766",$61.65M,PG-13,"
Biography, Drama, History            ",88000000,61649911,105021488,Cinderella Man 2005
Despicable Me 3,2017,89 min,6.3,49        ,"122,706",$264.62M,PG,"
Animation, Adventure, Comedy            ",75000000,264624300,1032596894,Despicable Me 3 2017
Rush Hour 3,2007,91 min,6.2,44        ,"160,112",$140.13M,PG-13,"
Action, Comedy, Crime            ",180000000,140125968,256585882,Rush Hour 3 2007
Judge Dredd,1995,96 min,5.6,-,"114,447",$34.69M,R,"
Action, Crime, Sci-Fi            ",85000000,34687912,113487912,Judge Dredd 1995
Trolls,2016,92 min,6.5,55        ,"76,493",$153.71M,PG,"
Animation, Adventure, Comedy            ",125000000,153707064,343242613,Trolls 2016
Get Smart,2008,110 min,6.5,54        ,"210,713",$130.32M,PG-13,"
Action, Adventure, Comedy            ",80000000,130319208,226739416,Get Smart 2008
The Long Kiss Goodnight,1996,121 min,6.8,44        ,"76,731",$33.33M,R,"
Action, Crime, Drama            ",65000000,33447612,33447612,The Long Kiss Goodnight 1996
The Postman,1997,177 min,6.1,29        ,"71,410",$17.63M,R,"
Action, Adventure, Drama            ",80000000,17650704,20841123,The Postman 1997
Dumbo,2019,112 min,6.3,51        ,"71,013",$114.77M,PG,"
Adventure, Family, Fantasy            ",170000000,114766307,353166307,Dumbo 2019
World Trade Center,2006,129 min,5.9,66        ,"81,883",$70.28M,PG-13,"
Drama, History, Thriller            ",65000000,70278893,163295654,World Trade Center 2006
Seventh Son,2014,102 min,5.5,30        ,"74,578",$17.22M,PG-13,"
Action, Adventure, Fantasy            ",95000000,17725785,108874967,Seventh Son  2014
Evan Almighty,2007,96 min,5.4,37        ,"143,358",$100.46M,PG,"
Comedy, Family, Fantasy            ",175000000,100289690,174131329,Evan Almighty 2007
Entrapment,1999,113 min,6.3,54        ,"111,773",$87.70M,PG-13,"
Action, Crime, Romance            ",66000000,87707396,211700000,Entrapment 1999
Air Force One,1997,124 min,6.5,61        ,"188,192",$172.96M,R,"
Action, Drama, Thriller            ",85000000,172956409,315268353,Air Force One 1997
After Earth,2013,100 min,4.8,33        ,"196,541",$60.52M,PG-13,"
Action, Adventure, Sci-Fi            ",130000000,60522097,251499665,After Earth 2013
Night at the Museum: Battle of the Smithsonian,2009,105 min,6.0,42        ,"185,931",$177.24M,PG,"
Adventure, Comedy, Family            ",150000000,177243721,402231063,Night at the Museum: Battle of the Smithsonian 2009
Due Date,2010,95 min,6.5,51        ,"333,109",$100.54M,R,"
Comedy, Drama            ",65000000,100539043,211739043,Due Date 2010
The Cat in the Hat,2003,82 min,4.0,19        ,"79,938",$101.15M,PG,"
Adventure, Comedy, Family            ",109000000,101018283,133818283,The Cat in the Hat 2003
Space Cowboys,2000,130 min,6.5,73        ,"78,342",$90.46M,PG-13,"
Action, Adventure, Thriller            ",65000000,90454043,128874043,Space Cowboys 2000
Pixels,2015,105 min,5.5,27        ,"137,437",$78.75M,PG-13,"
Animation, Action, Comedy            ",90000000,78765986,244041804,Pixels 2015
Stealth,2005,121 min,5.1,35        ,"53,044",$32.12M,PG-13,"
Action, Adventure, Sci-Fi            ",138000000,32116746,76416746,Stealth 2005
Kung Fu Panda 3,2016,95 min,7.1,66        ,"144,910",$143.53M,PG,"
Animation, Action, Adventure            ",140000000,143528619,521170825,Kung Fu Panda 3 2016
Percy Jackson: Sea of Monsters,2013,106 min,5.8,39        ,"114,168",$68.56M,PG,"
Adventure, Family, Fantasy            ",90000000,68559554,200859554,Percy Jackson: Sea of Monsters 2013
The Jackal,1997,124 min,6.4,36        ,"112,642",$54.93M,R,"
Action, Crime, Drama            ",60000000,54956941,159356941,The Jackal 1997
The Wolfman,2010,103 min,5.8,43        ,"104,927",$61.98M,R,"
Drama, Fantasy, Horror            ",150000000,62189884,142634358,The Wolfman 2010
The Great Wall,2016,103 min,5.9,42        ,"129,749",$45.54M,PG-13,"
Action, Adventure, Fantasy            ",150000000,45157105,334486852,The Great Wall  2016
War Horse,2011,146 min,7.2,72        ,"152,237",$79.88M,PG-13,"
Action, Adventure, Drama            ",70000000,79883359,156815529,War Horse 2011
Artemis Fowl,2020,95 min,4.2,31        ,"25,963",-,PG,"
Adventure, Family, Fantasy            ",100000000,0,0,Artemis Fowl 2020
Ferdinand,2017,108 min,6.7,58        ,"52,918",$84.41M,PG,"
Animation, Adventure, Comedy            ",111000000,84410380,289838913,Ferdinand 2017
Any Given Sunday,1999,162 min,6.9,52        ,"115,723",$75.53M,R,"
Drama, Sport            ",60000000,75530832,100230832,Any Given Sunday 1999
The Secret Life of Pets 2,2019,86 min,6.5,55        ,"56,841",$158.87M,PG,"
Animation, Adventure, Comedy            ",80000000,158874395,446275938,The Secret Life of Pets 2 2019
Eragon,2006,104 min,5.1,38        ,"124,298",$75.03M,PG,"
Action, Adventure, Family            ",100000000,75030163,249488115,Eragon 2006
Volcano,1997,104 min,5.5,55        ,"74,561",$49.32M,PG-13,"
Action, Drama, Sci-Fi            ",90000000,47546796,120100000,Volcano 1997
Poseidon,2006,98 min,5.7,50        ,"101,719",$60.67M,PG-13,"
Action, Adventure, Thriller            ",160000000,60674817,181674817,Poseidon 2006
Invictus,2009,134 min,7.3,74        ,"154,954",$37.49M,PG-13,"
Biography, Drama, History            ",60000000,37491364,124514011,Invictus 2009
The Polar Express,2004,100 min,6.6,61        ,"188,004",$183.37M,G,"
Animation, Adventure, Comedy            ",170000000,188578855,312719437,The Polar Express 2004
The Good Dinosaur,2015,93 min,6.7,66        ,"108,423",$123.09M,PG,"
Animation, Adventure, Comedy            ",187500000,123087120,333771037,The Good Dinosaur 2015
Starsky & Hutch,2004,101 min,6.1,55        ,"143,077",$88.24M,PG-13,"
Comedy, Crime            ",60000000,88200225,170200225,Starsky & Hutch 2004
Flight of the Phoenix,2004,113 min,6.1,47        ,"53,251",$21.01M,PG-13,"
Action, Adventure, Drama            ",75000000,21009180,34009180,Flight of the Phoenix 2004
Eat Pray Love,2010,133 min,5.8,50        ,"93,259",$80.57M,PG-13,"
Biography, Drama, Romance            ",60000000,80574010,206598789,Eat Pray Love 2010
Reign of Fire,2002,101 min,6.2,39        ,"131,393",$43.06M,PG-13,"
Action, Adventure, Fantasy            ",60000000,43061982,82150183,Reign of Fire 2002
Dinosaur,2000,82 min,6.5,56        ,"56,996",$137.75M,PG,"
Animation, Adventure, Drama            ",127500000,137748063,356148063,Dinosaur 2000
Ice Age: Collision Course,2016,94 min,5.7,34        ,"61,247",$64.06M,PG,"
Animation, Adventure, Comedy            ",105000000,64063008,402156682,Ice Age: Collision Course 2016
Wrath of the Titans,2012,99 min,5.7,37        ,"185,494",$83.67M,PG-13,"
Action, Adventure, Fantasy            ",150000000,83670083,305270083,Wrath of the Titans 2012
Where the Wild Things Are,2009,101 min,6.7,71        ,"102,926",$77.23M,PG,"
Adventure, Drama, Family            ",100000000,77233467,99123656,Where the Wild Things Are 2009
Priest,2011,87 min,5.7,41        ,"117,946",$29.14M,PG-13,"
Action, Adventure, Fantasy            ",60000000,29136626,84154026,Priest 2011
Happy Feet,2006,108 min,6.4,77        ,"177,181",$198.00M,PG,"
Animation, Adventure, Comedy            ",85000000,198000317,385000317,Happy Feet 2006
Monsters vs. Aliens,2009,94 min,6.4,56        ,"154,047",$198.35M,PG,"
Animation, Action, Adventure            ",175000000,198351526,381687380,Monsters vs. Aliens 2009
The Family Man,2000,125 min,6.8,42        ,"106,633",$75.79M,PG-13,"
Comedy, Drama, Fantasy            ",60000000,75764085,124715863,The Family Man 2000
Daddy Day Care,2003,92 min,5.6,39        ,"66,311",$104.30M,PG,"
Comedy, Family            ",60000000,104148781,164285587,Daddy Day Care 2003
Alvin and the Chipmunks: The Road Chip,2015,92 min,5.0,33        ,"18,359",$85.89M,PG,"
Animation, Adventure, Comedy            ",90000000,85886987,249517956,Alvin and the Chipmunks: The Road Chip 2015
Death Race,2008,105 min,6.3,43        ,"203,576",$36.32M,R,"
Action, Sci-Fi, Thriller            ",65000000,36316032,72516819,Death Race 2008
The Guardian,2006,139 min,6.9,53        ,"90,076",$55.01M,PG-13,"
Action, Adventure, Drama            ",70000000,55011732,94973540,The Guardian  2006
Spies in Disguise,2019,102 min,6.8,54        ,"42,747",-,PG,"
Animation, Action, Adventure            ",100000000,66757013,165138481,Spies in Disguise 2019
The Croods,2013,98 min,7.2,55        ,"202,758",$187.17M,PG,"
Animation, Adventure, Comedy            ",135000000,187168425,573068425,The Croods 2013
Charlie's Angels: Full Throttle,2003,106 min,4.9,48        ,"125,141",$100.83M,PG-13,"
Action, Adventure, Comedy            ",120000000,100814328,227163273,Charlie's Angels: Full Throttle 2003
The Kingdom,2007,110 min,7.0,56        ,"123,127",$47.54M,R,"
Action, Drama, Thriller            ",72500000,47467250,86802457,The Kingdom 2007
End of Days,1999,122 min,5.8,33        ,"108,100",$66.89M,R,"
Action, Fantasy, Horror            ",100000000,66889043,212026975,End of Days 1999
The Sorcerer's Apprentice,2010,109 min,6.1,46        ,"157,508",$63.15M,PG,"
Action, Adventure, Family            ",160000000,63150991,217986320,The Sorcerer's Apprentice 2010
Jack Ryan: Shadow Recruit,2014,105 min,6.2,57        ,"127,664",$50.58M,PG-13,"
Action, Drama, Thriller            ",60000000,50577412,131377412,Jack Ryan: Shadow Recruit 2014
How to Train Your Dragon 2,2014,102 min,7.8,76        ,"317,739",$177.00M,PG,"
Animation, Action, Adventure            ",145000000,177002924,614586270,How to Train Your Dragon 2 2014
London Has Fallen,2016,99 min,5.9,28        ,"151,714",$62.68M,R,"
Action, Thriller            ",60000000,62524260,195194085,London Has Fallen 2016
Wild Hogs,2007,100 min,5.8,27        ,"116,344",$168.27M,PG-13,"
Action, Adventure, Comedy            ",60000000,168213584,253555383,Wild Hogs 2007
Bolt,2008,96 min,6.8,67        ,"199,254",$114.05M,PG,"
Animation, Adventure, Comedy            ",150000000,114053579,328015029,Bolt 2008
The Legend of Bagger Vance,2000,126 min,6.7,47        ,"55,439",$30.70M,PG-13,"
Drama, Fantasy, Sport            ",60000000,30695227,39235486,The Legend of Bagger Vance 2000
Jack the Giant Slayer,2013,114 min,6.2,51        ,"134,950",$65.19M,PG-13,"
Animation, Adventure, Fantasy            ",195000000,65187603,197687603,Jack the Giant Slayer 2013
Little Nicky,2000,90 min,5.3,38        ,"101,986",$39.46M,PG-13,"
Comedy, Fantasy            ",80000000,39442871,58270391,Little Nicky 2000
The Black Dahlia,2006,121 min,5.6,49        ,"72,931",$22.52M,R,"
Crime, Drama, Mystery            ",60000000,22672813,49238525,The Black Dahlia 2006
The American President,1995,114 min,6.8,67        ,"55,340",$65.00M,PG-13,"
Comedy, Drama, Romance            ",62000000,60022813,107822813,The American President 1995
The Last Castle,2001,131 min,7.0,43        ,"76,718",$18.21M,R,"
Action, Drama, Thriller            ",60000000,18208078,20541668,The Last Castle 2001
Kung Fu Panda 2,2011,90 min,7.2,67        ,"266,609",$165.25M,PG,"
Animation, Action, Adventure            ",150000000,165249063,664837547,Kung Fu Panda 2 2011
A Wrinkle in Time,2018,109 min,4.2,53        ,"43,249",$100.48M,PG,"
Adventure, Family, Fantasy            ",103000000,100478608,133214549,A Wrinkle in Time 2018
Surrogates,2009,89 min,6.3,45        ,"172,070",$38.58M,PG-13,"
Action, Sci-Fi, Thriller            ",80000000,38577772,119668350,Surrogates 2009
Over the Hedge,2006,83 min,6.7,67        ,"166,838",$155.02M,PG,"
Animation, Adventure, Comedy            ",80000000,155019340,343397247,Over the Hedge 2006
The Manchurian Candidate,2004,129 min,6.6,76        ,"108,089",$65.96M,R,"
Drama, Mystery, Sci-Fi            ",80000000,65948711,96135872,The Manchurian Candidate 2004
